name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.background.accent.orange.bolder,color; background; accent; orange; bolder; [default],--ds-background-accent-orange-bolder,#BD5B00,"Use for orange backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#BD5B00,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.bolder.hovered,color; background; accent; orange; bolder; hovered,--ds-background-accent-orange-bolder-hovered,#9E4C00,Hovered state of color.background.accent.orange.bolder.,#9E4C00,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.orange.bolder.pressed,color; background; accent; orange; bolder; pressed,--ds-background-accent-orange-bolder-pressed,#7A3B00,Pressed state of color.background.accent.orange.bolder.,#7A3B00,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtlest,color; background; accent; yellow; subtlest; [default],--ds-background-accent-yellow-subtlest,#FEF7C8,Use for yellow backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#FEF7C8,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtlest.hovered,color; background; accent; yellow; subtlest; hovered,--ds-background-accent-yellow-subtlest-hovered,#F5E989,Hovered state of color.background.accent.yellow.subtlest.,#F5E989,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtlest.pressed,color; background; accent; yellow; subtlest; pressed,--ds-background-accent-yellow-subtlest-pressed,#EFDD4E,Pressed state of color.background.accent.yellow.subtlest.,#EFDD4E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtler,color; background; accent; yellow; subtler; [default],--ds-background-accent-yellow-subtler,#F5E989,"Use for yellow backgrounds when there is no meaning tied to the color, such as colored tags.",#F5E989,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtler.hovered,color; background; accent; yellow; subtler; hovered,--ds-background-accent-yellow-subtler-hovered,#EFDD4E,Hovered state of color.background.accent.yellow.subtler.,#EFDD4E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtler.pressed,color; background; accent; yellow; subtler; pressed,--ds-background-accent-yellow-subtler-pressed,#EED12B,Pressed state of color.background.accent.yellow.subtler.,#EED12B,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtle,color; background; accent; yellow; subtle; [default],--ds-background-accent-yellow-subtle,#EED12B,"Use for vibrant yellow backgrounds when there is no meaning tied to the color, such as colored tags.",#EED12B,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtle.hovered,color; background; accent; yellow; subtle; hovered,--ds-background-accent-yellow-subtle-hovered,#DDB30E,Hovered state of color.background.accent.yellow.subtle.,#DDB30E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.subtle.pressed,color; background; accent; yellow; subtle; pressed,--ds-background-accent-yellow-subtle-pressed,#EFDD4E,Pressed state of color.background.accent.yellow.subtle.,#EFDD4E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.bolder,color; background; accent; yellow; bolder; [default],--ds-background-accent-yellow-bolder,#946F00,"Use for yellow backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#946F00,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.bolder.hovered,color; background; accent; yellow; bolder; hovered,--ds-background-accent-yellow-bolder-hovered,#7F5F01,Hovered state of color.background.accent.yellow.bolder.,#7F5F01,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.yellow.bolder.pressed,color; background; accent; yellow; bolder; pressed,--ds-background-accent-yellow-bolder-pressed,#614A05,Pressed state of color.background.accent.yellow.bolder.,#614A05,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtlest,color; background; accent; green; subtlest; [default],--ds-background-accent-green-subtlest,#DCFFF1,Use for green backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#DCFFF1,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtlest.hovered,color; background; accent; green; subtlest; hovered,--ds-background-accent-green-subtlest-hovered,#BAF3DB,Hovered state of color.background.accent.green.subtlest.,#BAF3DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtlest.pressed,color; background; accent; green; subtlest; pressed,--ds-background-accent-green-subtlest-pressed,#97EDC9,Pressed state of color.background.accent.green.subtlest.,#97EDC9,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtler,color; background; accent; green; subtler; [default],--ds-background-accent-green-subtler,#BAF3DB,"Use for green backgrounds when there is no meaning tied to the color, such as colored tags.",#BAF3DB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtler.hovered,color; background; accent; green; subtler; hovered,--ds-background-accent-green-subtler-hovered,#97EDC9,Hovered state of color.background.accent.green.subtler.,#97EDC9,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtler.pressed,color; background; accent; green; subtler; pressed,--ds-background-accent-green-subtler-pressed,#7EE2B8,Pressed state of color.background.accent.green.subtler.,#7EE2B8,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtle,color; background; accent; green; subtle; [default],--ds-background-accent-green-subtle,#4BCE97,"Use for vibrant green backgrounds when there is no meaning tied to the color, such as colored tags.",#4BCE97,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtle.hovered,color; background; accent; green; subtle; hovered,--ds-background-accent-green-subtle-hovered,#7EE2B8,Hovered state of color.background.accent.green.subtle.,#7EE2B8,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.subtle.pressed,color; background; accent; green; subtle; pressed,--ds-background-accent-green-subtle-pressed,#97EDC9,Pressed state of color.background.accent.green.subtle.,#97EDC9,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.bolder,color; background; accent; green; bolder; [default],--ds-background-accent-green-bolder,#1F845A,"Use for green backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#1F845A,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.bolder.hovered,color; background; accent; green; bolder; hovered,--ds-background-accent-green-bolder-hovered,#216E4E,Hovered state of color.background.accent.green.bolder.,#216E4E,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.green.bolder.pressed,color; background; accent; green; bolder; pressed,--ds-background-accent-green-bolder-pressed,#19573D,Pressed state of color.background.accent.green.bolder.,#19573D,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtlest,color; background; accent; teal; subtlest; [default],--ds-background-accent-teal-subtlest,#E7F9FF,Use for teal backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#E7F9FF,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtlest.hovered,color; background; accent; teal; subtlest; hovered,--ds-background-accent-teal-subtlest-hovered,#C6EDFB,Hovered state of color.background.accent.teal.subtlest.,#C6EDFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtlest.pressed,color; background; accent; teal; subtlest; pressed,--ds-background-accent-teal-subtlest-pressed,#B1E4F7,Pressed state of color.background.accent.teal.subtlest.,#B1E4F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtler,color; background; accent; teal; subtler; [default],--ds-background-accent-teal-subtler,#C6EDFB,"Use for teal backgrounds when there is no meaning tied to the color, such as colored tags.",#C6EDFB,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtler.hovered,color; background; accent; teal; subtler; hovered,--ds-background-accent-teal-subtler-hovered,#B1E4F7,Hovered state of color.background.accent.teal.subtler.,#B1E4F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtler.pressed,color; background; accent; teal; subtler; pressed,--ds-background-accent-teal-subtler-pressed,#9DD9EE,Pressed state of color.background.accent.teal.subtler.,#9DD9EE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtle,color; background; accent; teal; subtle; [default],--ds-background-accent-teal-subtle,#6CC3E0,"Use for vibrant teal backgrounds when there is no meaning tied to the color, such as colored tags.",#6CC3E0,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtle.hovered,color; background; accent; teal; subtle; hovered,--ds-background-accent-teal-subtle-hovered,#9DD9EE,Hovered state of color.background.accent.teal.subtle.,#9DD9EE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.subtle.pressed,color; background; accent; teal; subtle; pressed,--ds-background-accent-teal-subtle-pressed,#B1E4F7,Pressed state of color.background.accent.teal.subtle.,#B1E4F7,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.bolder,color; background; accent; teal; bolder; [default],--ds-background-accent-teal-bolder,#227D9B,"Use for teal backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements.",#227D9B,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.bolder.hovered,color; background; accent; teal; bolder; hovered,--ds-background-accent-teal-bolder-hovered,#206A83,Hovered state of color.background.accent.teal.bolder.,#206A83,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.teal.bolder.pressed,color; background; accent; teal; bolder; pressed,--ds-background-accent-teal-bolder-pressed,#1A5265,Pressed state of color.background.accent.teal.bolder.,#1A5265,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
color.background.accent.blue.subtlest,color; background; accent; blue; subtlest; [default],--ds-background-accent-blue-subtlest,#E9F2FE,Use for blue backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color.,#E9F2FE,"The color for backgrounds. Use for areas behind content (e.g. color.background.neutral, color.background.selected)",background-color,token-metadata.codegen.js
